證券代碼,簡稱,年月,year,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
1101,台泥,201512,2015,112611364.95,30.5,15.34,0.92,4.5850088010255705,-0.6202586868550513,-0.2286669856729204,-1.155317825081571,-2.7285215034347043,4.345492675901171e-08,,,,,,,21.639344262295086,1
1102,亞泥,201512,2015,96977751.72,28.85,13.98,0.65,5.646918591766301,-0.17004923948118394,-0.085566272272904,3.1424683394308808,-1.3456433344959726,3.1390988797971855e-08,,,,,,,-3.1195840554592795,-1
1216,統一,201512,2015,307397033.14,54.1,21.53,3.22,3.2182803389608483,-0.48257537458953925,-0.11653008165673237,-0.02313436142294508,-0.4867198693813664,6.328874388566065e-08,,,,,,,0.7393715341959308,-1
1301,台塑,201512,2015,481250004.47999996,75.6,20.0,1.8,10.49717028966453,1.6562212639283362,1.1240959142840379,11.49847698875242,10.38387273446801,1.1178183147861543e-08,,,,,,,20.502645502645503,1
1303,南亞,201512,2015,483780117.6,61.0,14.39,1.54,7.22845048568652,-0.04624098608064046,-0.029189102168351324,6.605295725477807,-0.22405232621111443,1.0552487087064636e-08,,,,,,,12.295081967213115,-1
1304,台聚,201512,2015,14568180.6,12.75,18.57,0.79,1.1357648284936848,0.3949425456951327,0.11694116189415915,-0.5866330369684998,0.5242088452904468,2.7019076877966815e-07,,,,,,,27.058823529411757,1
1305,華夏,201512,2015,6790399.3,14.5,16.06,1.14,1.9224756462988715,38376003.05693542,0.16232833431134958,-0.27051803566817817,0.5686682642000027,86.28200229270155,,,,,,,87.24137931034481,1
1308,亞聚,201512,2015,0.0855225,17.5,17.42,0.98,6.460667154677539e-08,186677112.34911793,1.5937145178027923,2.59189675321683,12.150488652991786,11713334493.964716,,,,,,,9.142857142857151,-1
1326,台化,201512,2015,421419294.9700001,71.9,28.03,1.62,5.3567705121581755,0.4198111322626082,0.23145959525595106,4.439669642978695,1.5092766208404957,1.239965200643588e-08,,,,,,,38.3866481223922,1
1402,遠東新,201512,2015,141315902.64,26.4,15.42,0.68,2.476278764948719,0.38408161679224195,0.14604046568882478,1.3609344203598772,1.3275548549236542,2.524694797732023e-08,,,,,,,-9.6590909090909,-1
1503,士電,201512,2015,20682596.34,39.7,17.97,1.02,3.9742032684294952,0.024794078274541182,0.015345558647641023,0.9944060695452068,0.10210959891718478,1.713749520180462e-07,,,,,,,0.25188916876572875,-1
1504,東元,201512,2015,53071361.85,26.5,15.75,1.12,4.254144405859491,0.19115101912306584,0.10745402233207442,-1.0985943808258518,0.7272660813674219,8.235708202011115e-08,,,,,,,1.5094339622641455,-1
1513,中興電,201512,2015,0.047921,17.3,8.33,0.94,1.4785339370759948e-08,-0.04203748652479343,-0.02042752292440339,-0.8128064530859123,-0.09555350687849494,6.746086794582607e-07,,,,,,,2.6011560693641576,-1
1519,華城,201512,2015,4229147.7,16.2,13.58,1.29,2.041161437730582,-0.010211780271665069,-0.0041173990671405855,-0.762573289084777,-0.015541050575018872,1.8901307583578823e-06,,,,,,,9.876543209876552,-1
1590,亞德客-KY,201512,2015,0.124683,149.5,18.67,2.65,5.76099381682994e-08,0.03177822774188593,0.015193873121931252,-4.954390919398853,0.15062871315949733,5.019205357146338e-07,,,,,,,60.535117056856194,1
1605,華新,201512,2015,25532641.428,7.14,18.82,0.41,0.6819987550069169,0.22961387689735113,0.1352899766974273,-0.24211255747141558,0.37829519499179964,6.368345561216127e-08,,,,,,,85.57422969187675,1
1717,長興,201512,2015,31891672.8,31.2,12.41,1.47,3.3388093774897114,-0.029718691863495066,-0.01322945328276525,1.0454353677470554,-0.06802899136394046,2.488906142215146e-07,,,,,,,5.288461538461545,-1
1722,台肥,201512,2015,0.0504499,41.15,10.13,0.81,9.674667795795643e-09,3.0817393006725595,2.023655267438175,-2.581003210385225,31.00793746220975,6.542934496020227e-08,,,,,,,-2.308626974483586,-1
