證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1101,2015,112611364.95,4.5850088010255705,-0.6202586868550513,-0.2286669856729204,-1.155317825081571,-2.7285215034347043,4.345492675901171e-08,
1101,2016,136979725.89,5.1596988327711815,0.32421780322189186,0.12385578402600228,-4.726633350419361,1.3019696242369672,4.290901725248647e-08,-151.57786512192865
1101,2017,124426327.83000001,4.238001868072896,0.19944240178355496,0.15901662367678954,-0.3971809218006143,0.7178521228509805,0.0,-39.02478540244816
1101,2018,0.05323725,1.523796321908354e-09,0.20700298966279043,0.173089729450871,1.615473548460371,0.852351049515978,8.2074892954234e-10,41.293135761699375
1101,2019,0.0637617,1.810324913994824e-09,0.03328664337482878,0.017552797095625655,-1.3864345545243062,0.17730830714829868,7.073374770298609e-10,-79.02870498475426
1101,2020,0.06658045,2.072945906783011e-09,0.6336824770058082,0.33398662079163693,1.9641138687830375,1.9106311050187212,2.557740026722657,882.6597277822257
1101,2021,0.06463419999999999,2.1447037786806868e-09,-1074148763.6805837,-529985000.0,6.813828315921978,-1.758605865229374,0.712896953985742,-186.36305121147979
1101,2022,0.0514836,1.485587690637089e-09,592636363.6363636,267279000.0,4.24395049126,0.7712483050248827,1.2525620587565476,-150.43142730454636
1101,2023,0.055452800000000003,1.9561539559708032e-09,1386098822.4936721,629774000.0,1.352849390347515,2.2215918789809646,1.852640545144804,135.62419793549063
1101,2024,0.043489799999999995,8.872206226518074e-10,2076118057.9024446,921485000.0,4.447913055324835,1.8798902167043787,0.7414494140157857,46.31994969624025
1101,2025,,,5947899987.683211,2414550000.0,-9.660195128182334,5.972683202233858,0.7618080243778567,162.0281393620081
1102,2015,96977751.72,5.646918591766301,-0.17004923948118394,-0.085566272272904,3.1424683394308808,-1.3456433344959726,3.1390988797971855e-08,
1102,2016,93952449.24,5.578492342939549,0.18837297152332527,0.0953562246470955,5.685430990682944,1.439819136870902,3.4213098327161296e-08,-204.93217075228802
1102,2017,90422929.68,4.625163639146216,0.5090432145543513,0.5163452210519466,0.1574612080932933,3.149899346360029,0.0,153.95042331118836
1102,2018,115969928.4,5.311695708946926,1.0140289698513554,0.9380876032722267,-3.0924741739992037,5.997882373967151,1.8855305156941916e-10,112.64834072736485
1102,2019,151601268.72,6.55126746172575,0.6326632736579865,0.3116413475606762,4.350329293505303,3.881697199667738,2.259231662148637e-10,-31.405544346986748
1102,2020,0.048972299999999996,2.0683746265897532e-09,2.5103363605381013,1.2334500647549493,2.9082802773206593,7.743437463664183,0.9449135504624044,104.10607690029767
1102,2021,0.04734729999999999,1.7004499068811412e-09,1635114873.0350666,811344000.0,1.4334873917468132,2.913893356640343,0.6666666666666666,-55.746264708400986
1102,2022,0.044186399999999994,1.8223784780971975e-09,-577648963.0753667,-285503000.0,-0.15307329226770566,-1.1774992364894723,0.8713272543059777,-135.18889644836221
1102,2023,0.043959899999999996,2.20419838572687e-09,-1786145801.2919102,-871014000.0,2.413001029447225,-4.367361283227451,0.518887505188875,205.08050703495235
