date,stock_id,dividend_yield,PER,PBR
2015-01-05,3481,0.85,17.88,0.77
2015-01-06,3481,0.88,17.34,0.74
2015-01-07,3481,0.86,17.61,0.75
2015-01-08,3481,0.82,18.64,0.8
2015-01-09,3481,0.83,18.26,0.78
2015-01-12,3481,0.84,18.21,0.78
2015-01-13,3481,0.84,18.04,0.77
2015-01-14,3481,0.82,18.48,0.79
2015-01-15,3481,0.84,18.04,0.77
2015-01-16,3481,0.86,17.61,0.75
2015-01-19,3481,0.85,17.93,0.77
2015-01-20,3481,0.85,17.93,0.77
2015-01-21,3481,0.91,16.68,0.71
2015-01-22,3481,0.89,17.17,0.74
2015-01-23,3481,0.89,17.07,0.73
2015-01-26,3481,0.89,17.17,0.74
2015-01-27,3481,0.88,17.23,0.74
2015-01-28,3481,0.88,17.34,0.74
2015-01-29,3481,0.88,17.39,0.74
2015-01-30,3481,0.91,16.74,0.72
2015-02-02,3481,0.91,16.68,0.71
2015-02-03,3481,0.89,17.17,0.74
2015-02-04,3481,0.89,17.12,0.73
2015-02-05,3481,0.89,17.17,0.74
2015-02-06,3481,0.89,17.17,0.74
2015-02-09,3481,0.89,17.07,0.73
2015-02-10,3481,0.9,16.96,0.73
2015-02-11,3481,0.84,18.1,0.77
2015-02-12,3481,0.84,18.04,0.77
2015-02-13,3481,0.85,17.93,0.77
2015-02-19,3481,7.39,3.29,0.39
2015-02-24,3481,0.86,17.66,0.76
2015-02-25,3481,0.87,17.55,0.75
2015-02-26,3481,0.87,17.5,0.75
2015-03-02,3481,0.91,16.74,0.72
2015-03-03,3481,0.9,16.9,0.72
2015-03-04,3481,0.9,16.9,0.72
2015-03-05,3481,0.92,16.63,0.71
2015-03-06,3481,0.91,16.79,0.72
2015-03-09,3481,0.92,16.52,0.71
2015-03-10,3481,0.92,16.47,0.7
2015-03-11,3481,0.92,16.58,0.71
2015-03-12,3481,0.89,17.12,0.73
2015-03-13,3481,0.89,17.07,0.73
2015-03-16,3481,0.89,17.17,0.74
2015-03-17,3481,0.89,17.12,0.73
2015-03-18,3481,0.88,17.23,0.74
2015-03-19,3481,0.88,17.39,0.74
2015-03-20,3481,0.89,17.12,0.73
2015-03-23,3481,0.87,17.5,0.75
2015-03-24,3481,0.87,17.5,0.75
2015-03-25,3481,0.88,17.28,0.74
2015-03-26,3481,0.9,16.96,0.73
2015-03-27,3481,0.9,16.85,0.68
