date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2015-01-01,1519,Taiwan,906025000,12,2014,
2015-02-01,1519,Taiwan,255173000,1,2015,
2015-03-01,1519,Taiwan,396963000,2,2015,
2015-04-01,1519,Taiwan,374380000,3,2015,
2015-05-01,1519,Taiwan,458925000,4,2015,
2015-06-01,1519,Taiwan,312895000,5,2015,
2015-07-01,1519,Taiwan,568142000,6,2015,
2015-08-01,1519,Taiwan,375345000,7,2015,
2015-09-01,1519,Taiwan,438806000,8,2015,
2015-10-01,1519,Taiwan,462797000,9,2015,
2015-11-01,1519,Taiwan,357885000,10,2015,
2015-12-01,1519,Taiwan,425651000,11,2015,
2016-01-01,1519,Taiwan,1288396000,12,2015,
2016-02-01,1519,Taiwan,339440000,1,2016,
2016-03-01,1519,Taiwan,267458000,2,2016,
2016-04-01,1519,Taiwan,429038000,3,2016,
2016-05-01,1519,Taiwan,760078000,4,2016,
2016-06-01,1519,Taiwan,397684000,5,2016,
2016-07-01,1519,Taiwan,781845000,6,2016,
2016-08-01,1519,Taiwan,420134000,7,2016,
2016-09-01,1519,Taiwan,586268000,8,2016,
2016-10-01,1519,Taiwan,384928000,9,2016,
2016-11-01,1519,Taiwan,364361000,10,2016,
2016-12-01,1519,Taiwan,475741000,11,2016,
2017-01-01,1519,Taiwan,519285000,12,2016,
2017-02-01,1519,Taiwan,157204000,1,2017,
2017-03-01,1519,Taiwan,277964000,2,2017,
2017-04-01,1519,Taiwan,755249000,3,2017,
2017-05-01,1519,Taiwan,205064000,4,2017,
2017-06-01,1519,Taiwan,374884000,5,2017,
2017-07-01,1519,Taiwan,766343000,6,2017,
2017-08-01,1519,Taiwan,433470000,7,2017,
2017-09-01,1519,Taiwan,354553000,8,2017,
2017-10-01,1519,Taiwan,443900000,9,2017,
2017-11-01,1519,Taiwan,637474000,10,2017,
2017-12-01,1519,Taiwan,405276000,11,2017,
2018-01-01,1519,Taiwan,1058309000,12,2017,
2018-02-01,1519,Taiwan,418601000,1,2018,
2018-03-01,1519,Taiwan,309952000,2,2018,
2018-04-01,1519,Taiwan,519328000,3,2018,
2018-05-01,1519,Taiwan,383467000,4,2018,
2018-06-01,1519,Taiwan,313388000,5,2018,
2018-07-01,1519,Taiwan,506746000,6,2018,
2018-08-01,1519,Taiwan,377500000,7,2018,
2018-09-01,1519,Taiwan,741383000,8,2018,
2018-10-01,1519,Taiwan,617386000,9,2018,
2018-11-01,1519,Taiwan,528587000,10,2018,
2018-12-01,1519,Taiwan,379709000,11,2018,
2019-01-01,1519,Taiwan,900515000,12,2018,
2019-02-01,1519,Taiwan,237388000,1,2019,
2019-03-01,1519,Taiwan,418100000,2,2019,
2019-04-01,1519,Taiwan,575665000,3,2019,
2019-05-01,1519,Taiwan,450377000,4,2019,
2019-06-01,1519,Taiwan,412632000,5,2019,
2019-07-01,1519,Taiwan,620143000,6,2019,
2019-08-01,1519,Taiwan,363164000,7,2019,
2019-09-01,1519,Taiwan,656929000,8,2019,
2019-10-01,1519,Taiwan,383387000,9,2019,
