證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label,year
1101,台泥,199712,63855,16.99,0.421761282626275,0.8512,1.3201,0.027738,0.055006,0.048624,0.087847,0.98302,105.91,70.48,10.52,6.36,-38.88,15.43,-19.7175,1,1997
1102,亞泥,199712,58421,12.24,0.655740699156587,0.55865,1.2179,0.073584,0.11986,0.17365,0.26141,0.6289,111.77,88.93,7.77,3.15,-22.8,23.83,-10.7026,1,1997
1103,嘉泥,199712,14514,17.91,0.779167230102011,1.2894,2.2166,0.04541,0.10727,0.074251,0.19906,1.3621,152.47,129.62,3.34,5.37,-34.09,29.99,-27.694,-1,1997
1104,環泥,199712,7260,8.25,0.775712678608402,0.61021,0.78348,0.02733,0.042699,0.043404,0.054805,0.56234,83.82,52.04,8.05,4.31,-24.19,-31.9,-13.4545,1,1997
1107,建台,199712,10784,31.7,0.0844358455109103,2.6091,12.4314,-0.010217,-0.01826,-0.11267,-0.08699,0.78728,173.8,37.32,0.23,3.53,-174.66,-136.51,-48.7382,-1,1997
1108,幸福,199712,7745,15.02,0.73172238565867,1.1518,1.1978,0.013501,0.029371,0.044577,0.030549,1.1754,136.9,44.74,1.11,3.3,-63.72,-61.43,-25.9654,-1,1997
1109,信大,199712,14023,19.83,0.0119020695012414,1.4645,3.1082,0.070706,0.086241,0.12212,0.18705,0.2197,295.53,256.54,5.97,3.42,-36.29,-8.15,-41.2002,-1,1997
1110,東泥,199712,8819,10.82,0.369246781120215,0.68481,2.3471,0.0362,0.049127,0.18029,0.16845,0.35709,524.83,404.94,2.44,4.28,-13.9,-23.36,-30.7763,-1,1997
1201,味全,199712,33147,64.44,0.317099480060861,4.3926,2.1086,-0.00060525,-0.0012666,-0.00081945,-0.00062142,1.0927,110.79,61.96,7.37,10.01,96.27,108.61,-75.7294,-1,1997
1207,嘉食化,199712,14921,32.17,0.0758542895630636,2.8145,4.5056,0.0061484,0.013144,0.014775,0.021027,1.1377,129.18,53.35,1.76,4.68,-38.52,2.87,-13.4908,1,1997
1209,益華,199712,7819,18.81,0.168990029462704,1.528,1.1618,0.010564,0.018587,0.016711,0.01413,0.75956,125.55,74.46,5.7,9.49,284.21,-62.84,-27.1664,-1,1997
1216,統一,199712,86176,13.11,0.964888535199277,0.79071,0.46755,0.1341,0.21591,0.01633,0.12768,0.61014,132.11,81.16,8.33,18.15,-50.73,135.35,-11.7468,1,1997
1227,佳格,199712,12205,19.39,0.450541598502498,1.3522,0.82405,0.12629,0.18216,0.14379,0.11104,0.44236,226.75,145.02,4.73,7.01,13.2,-7.33,-6.4982,1,1997
1229,聯華,199712,12899,11.1,0.165648729499781,0.79627,2.0983,0.052486,0.068859,0.051623,0.18161,0.31195,99.43,71.74,5.68,5.25,-36.4,16.0,-13.6036,1,1997
1301,台塑,199712,157681,17.52,0.0975404049994095,0.97932,0.90824,0.053538,0.11364,0.15188,0.10535,1.1227,117.31,70.96,5.93,23.98,6.58,-17.3,-15.9817,1,1997
1303,南亞,199712,175637,14.81,0.913375856139019,0.74949,0.40821,0.035977,0.099458,0.091372,0.061046,1.7644,133.3,80.55,4.36,7.0,8.65,-15.94,-12.0864,1,1997
1304,台聚,199712,18444,13.89,0.254282178971531,0.92231,1.3739,0.063954,0.1407,0.10649,0.21205,1.2001,285.81,203.65,12.03,17.32,25.1,15.7,-26.2059,-1,1997
1305,華夏,199712,8068,22.16,0.353158571222071,1.8105,0.88146,-0.022917,-0.059038,0.0095851,-0.02971,1.5761,140.11,84.19,5.92,5.68,142.13,-195.49,-34.0253,-1,1997
1308,亞聚,199712,9381,17.58,0.902716109915281,0.88878,1.0912,0.11451,0.1327,0.14761,0.16289,0.15888,468.2,422.74,11.77,19.97,-9.79,-53.13,-16.2685,1,1997
1311,福聚,199712,8884,17.27,0.900053846417662,1.0944,0.72048,0.099595,0.12997,0.096277,0.085536,0.30494,293.41,219.84,8.91,22.17,-40.94,-33.18,2.432,1,1997
1313,聯成,199712,11987,11.9,0.91333736150167,0.92177,0.98104,-0.0067741,-0.012215,0.031886,-0.013075,0.80318,325.27,220.5,5.88,7.83,-73.71,-113.07,-28.6555,-1,1997
1314,中石化,199712,36484,23.21,0.27692298496089,1.2802,2.1411,0.042116,0.085291,0.054946,0.14267,1.0251,83.66,44.49,7.77,13.36,-25.27,20.57,-32.4429,-1,1997
1326,台化,199712,93843,11.23,0.957506835434298,0.62216,0.60279,0.029891,0.061279,0.077884,0.059366,1.0501,125.21,69.33,3.42,13.07,81.48,-22.54,-23.2413,-1,1997
1408,中紡,199712,10230,18.72,0.869292207640089,1.7829,1.6069,-0.0069466,-0.019781,0.0071253,-0.017827,1.8476,73.8,30.79,3.29,8.16,114.03,84.66,-33.6004,-1,1997
1409,新纖,199712,19378,13.74,0.149294005559057,1.1054,1.1794,0.014203,0.023677,-0.03335,0.025361,0.66703,143.42,56.29,7.46,13.77,1.53,20.06,-23.9447,-1,1997
1414,東和,199712,8648,39.28,0.780252068321138,3.3601,3.4426,0.0023349,0.0047752,0.012355,0.0048922,1.0452,117.92,63.66,5.9,6.45,145.95,107.38,-56.3136,-1,1997
1419,新紡,199712,14955,47.77,0.567821640725221,4.4068,14.9749,0.0050944,0.0095505,-0.090442,0.032426,0.87469,49.8,36.36,3.74,4.79,38.65,120.52,-46.5983,-1,1997
1431,新燕,199712,9124,36.95,0.489252638400019,1.1303,1.3818,0.047465,0.085575,0.10932,0.10462,0.80291,308.12,61.96,1.0,7.01,2525.38,1587.64,-64.9526,-1,1997
