split_id,mode,train_years,test_years,train_start_year,train_end_year,test_start_year,test_end_year,n_train_years,n_test_years,train_rows,test_rows,train_label_neg1_count,train_label_pos1_count,test_label_neg1_count,test_label_pos1_count,max_train_year,min_test_year,leakage_free
1,next_year,1997,1998,1997,1997,1998,1998,1,1,200,200,109,91,126,74,1997,1998,True
2,next_year,"1997,1998",1999,1997,1998,1999,1999,2,1,400,200,235,165,111,89,1998,1999,True
3,next_year,"1997,1998,1999",2000,1997,1999,2000,2000,3,1,600,200,346,254,127,73,1999,2000,True
4,next_year,"1997,1998,1999,2000",2001,1997,2000,2001,2001,4,1,800,200,473,327,118,82,2000,2001,True
5,next_year,"1997,1998,1999,2000,2001",2002,1997,2001,2002,2002,5,1,1000,200,591,409,116,84,2001,2002,True
6,next_year,"1997,1998,1999,2000,2001,2002",2003,1997,2002,2003,2003,6,1,1200,200,707,493,98,102,2002,2003,True
7,next_year,"1997,1998,1999,2000,2001,2002,2003",2004,1997,2003,2004,2004,7,1,1400,200,805,595,130,70,2003,2004,True
8,next_year,"1997,1998,1999,2000,2001,2002,2003,2004",2005,1997,2004,2005,2005,8,1,1600,200,935,665,112,88,2004,2005,True
9,next_year,"1997,1998,1999,2000,2001,2002,2003,2004,2005",2006,1997,2005,2006,2006,9,1,1800,200,1047,753,115,85,2005,2006,True
10,next_year,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006",2007,1997,2006,2007,2007,10,1,2000,200,1162,838,112,88,2006,2007,True
11,next_year,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007",2008,1997,2007,2008,2008,11,1,2200,200,1274,926,117,83,2007,2008,True
