split_id,mode,train_years,test_years,train_start_year,train_end_year,test_start_year,test_end_year,n_train_years,n_test_years,train_rows,test_rows,train_label_neg1_count,train_label_pos1_count,test_label_neg1_count,test_label_pos1_count,max_train_year,min_test_year,leakage_free
1,remaining_years,1997,"1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008",1997,1997,1998,2008,1,11,200,2200,109,91,1282,918,1997,1998,True
2,remaining_years,"1997,1998","1999,2000,2001,2002,2003,2004,2005,2006,2007,2008",1997,1998,1999,2008,2,10,400,2000,235,165,1156,844,1998,1999,True
3,remaining_years,"1997,1998,1999","2000,2001,2002,2003,2004,2005,2006,2007,2008",1997,1999,2000,2008,3,9,600,1800,346,254,1045,755,1999,2000,True
4,remaining_years,"1997,1998,1999,2000","2001,2002,2003,2004,2005,2006,2007,2008",1997,2000,2001,2008,4,8,800,1600,473,327,918,682,2000,2001,True
5,remaining_years,"1997,1998,1999,2000,2001","2002,2003,2004,2005,2006,2007,2008",1997,2001,2002,2008,5,7,1000,1400,591,409,800,600,2001,2002,True
6,remaining_years,"1997,1998,1999,2000,2001,2002","2003,2004,2005,2006,2007,2008",1997,2002,2003,2008,6,6,1200,1200,707,493,684,516,2002,2003,True
7,remaining_years,"1997,1998,1999,2000,2001,2002,2003","2004,2005,2006,2007,2008",1997,2003,2004,2008,7,5,1400,1000,805,595,586,414,2003,2004,True
8,remaining_years,"1997,1998,1999,2000,2001,2002,2003,2004","2005,2006,2007,2008",1997,2004,2005,2008,8,4,1600,800,935,665,456,344,2004,2005,True
9,remaining_years,"1997,1998,1999,2000,2001,2002,2003,2004,2005","2006,2007,2008",1997,2005,2006,2008,9,3,1800,600,1047,753,344,256,2005,2006,True
10,remaining_years,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006","2007,2008",1997,2006,2007,2008,10,2,2000,400,1162,838,229,171,2006,2007,True
11,remaining_years,"1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007",2008,1997,2007,2008,2008,11,1,2200,200,1274,926,117,83,2007,2008,True
