model_name,scope,split_id,test_years,n_samples,actual_label_neg1_count,actual_label_pos1_count,pred_label_neg1_count,pred_label_pos1_count,accuracy,precision_label_1,recall_label_1,f1_label_1
decision_tree_entropy,split,1,1998,200,126,74,116,84,0.64,0.5119047619047619,0.581081081081081,0.5443037974683544
decision_tree_entropy,split,2,1999,200,111,89,150,50,0.515,0.42,0.2359550561797752,0.302158273381295
decision_tree_entropy,split,3,2000,200,127,73,109,91,0.54,0.3956043956043956,0.4931506849315068,0.4390243902439024
decision_tree_entropy,split,4,2001,200,118,82,149,51,0.505,0.3333333333333333,0.2073170731707317,0.2556390977443609
decision_tree_entropy,split,5,2002,200,116,84,97,103,0.475,0.3980582524271844,0.4880952380952381,0.4385026737967914
decision_tree_entropy,split,6,2003,200,98,102,152,48,0.58,0.6875,0.3235294117647059,0.44
decision_tree_entropy,split,7,2004,200,130,70,141,59,0.565,0.3559322033898305,0.3,0.3255813953488372
decision_tree_entropy,split,8,2005,200,112,88,95,105,0.625,0.5619047619047619,0.6704545454545454,0.6113989637305699
decision_tree_entropy,split,9,2006,200,115,85,164,36,0.555,0.4444444444444444,0.188235294117647,0.2644628099173554
decision_tree_entropy,split,10,2007,200,112,88,115,85,0.485,0.4117647058823529,0.3977272727272727,0.4046242774566474
decision_tree_entropy,split,11,2008,200,117,83,145,55,0.58,0.4909090909090909,0.3253012048192771,0.391304347826087
decision_tree_entropy,overall,overall,1998-2008,2200,1282,918,1433,767,0.5513636363636364,0.455019556714472,0.3801742919389978,0.4142433234421365
gradient_boosting,split,1,1998,200,126,74,85,115,0.565,0.4434782608695652,0.6891891891891891,0.5396825396825397
gradient_boosting,split,2,1999,200,111,89,118,82,0.555,0.5,0.4606741573033708,0.47953216374269003
gradient_boosting,split,3,2000,200,127,73,73,127,0.5,0.3937007874015748,0.684931506849315,0.5
gradient_boosting,split,4,2001,200,118,82,121,79,0.505,0.3924050632911392,0.3780487804878049,0.38509316770186336
gradient_boosting,split,5,2002,200,116,84,124,76,0.53,0.4342105263157895,0.39285714285714285,0.4125
gradient_boosting,split,6,2003,200,98,102,151,49,0.525,0.5714285714285714,0.27450980392156865,0.3708609271523179
gradient_boosting,split,7,2004,200,130,70,118,82,0.51,0.32926829268292684,0.38571428571428573,0.35526315789473684
gradient_boosting,split,8,2005,200,112,88,153,47,0.595,0.574468085106383,0.3068181818181818,0.4
gradient_boosting,split,9,2006,200,115,85,167,33,0.58,0.5151515151515151,0.2,0.288135593220339
gradient_boosting,split,10,2007,200,112,88,166,34,0.59,0.5882352941176471,0.22727272727272727,0.32786885245901637
gradient_boosting,split,11,2008,200,117,83,127,73,0.57,0.4794520547945205,0.42168674698795183,0.44871794871794873
gradient_boosting,overall,overall,1998-2008,2200,1282,918,1403,797,0.5477272727272727,0.451693851944793,0.39215686274509803,0.4198250728862974
logistic_regression,split,1,1998,200,126,74,106,94,0.57,0.43617021276595747,0.5540540540540541,0.4880952380952381
logistic_regression,split,2,1999,200,111,89,117,83,0.56,0.5060240963855421,0.47191011235955055,0.4883720930232558
logistic_regression,split,3,2000,200,127,73,92,108,0.555,0.42592592592592593,0.6301369863013698,0.5082872928176796
logistic_regression,split,4,2001,200,118,82,103,97,0.515,0.422680412371134,0.5,0.4581005586592179
logistic_regression,split,5,2002,200,116,84,78,122,0.48,0.4180327868852459,0.6071428571428571,0.49514563106796117
logistic_regression,split,6,2003,200,98,102,63,137,0.585,0.5693430656934306,0.7647058823529411,0.6527196652719666
logistic_regression,split,7,2004,200,130,70,57,143,0.425,0.34265734265734266,0.7,0.460093896713615
logistic_regression,split,8,2005,200,112,88,89,111,0.525,0.46846846846846846,0.5909090909090909,0.5226130653266332
logistic_regression,split,9,2006,200,115,85,93,107,0.6,0.5233644859813084,0.6588235294117647,0.5833333333333334
logistic_regression,split,10,2007,200,112,88,98,102,0.55,0.49019607843137253,0.5681818181818182,0.5263157894736842
logistic_regression,split,11,2008,200,117,83,98,102,0.555,0.47058823529411764,0.5783132530120482,0.518918918918919
logistic_regression,overall,overall,1998-2008,2200,1282,918,994,1206,0.5381818181818182,0.4593698175787728,0.6034858387799564,0.5216572504708098
random_forest,split,1,1998,200,126,74,91,109,0.615,0.48623853211009177,0.7162162162162162,0.5792349726775956
random_forest,split,2,1999,200,111,89,102,98,0.575,0.5204081632653061,0.5730337078651685,0.5454545454545454
random_forest,split,3,2000,200,127,73,65,135,0.53,0.4222222222222222,0.7808219178082192,0.5480769230769231
random_forest,split,4,2001,200,118,82,110,90,0.53,0.43333333333333335,0.47560975609756095,0.45348837209302323
random_forest,split,5,2002,200,116,84,77,123,0.465,0.4065040650406504,0.5952380952380952,0.4830917874396135
random_forest,split,6,2003,200,98,102,112,88,0.6,0.625,0.5392156862745098,0.5789473684210527
random_forest,split,7,2004,200,130,70,88,112,0.47,0.3392857142857143,0.5428571428571428,0.4175824175824176
random_forest,split,8,2005,200,112,88,126,74,0.64,0.6081081081081081,0.5113636363636364,0.5555555555555556
random_forest,split,9,2006,200,115,85,142,58,0.575,0.5,0.3411764705882353,0.40559440559440557
random_forest,split,10,2007,200,112,88,135,65,0.555,0.49230769230769234,0.36363636363636365,0.41830065359477125
random_forest,split,11,2008,200,117,83,101,99,0.5,0.41414141414141414,0.4939759036144578,0.45054945054945056
random_forest,overall,overall,1998-2008,2200,1282,918,1149,1051,0.5504545454545454,0.46622264509990485,0.5337690631808278,0.4977145759268664
