scope,split_id,test_years,n_samples,actual_label_neg1_count,actual_label_pos1_count,pred_label_neg1_count,pred_label_pos1_count,accuracy,precision_label_1,recall_label_1,f1_label_1
split,1,1998,200,126,74,116,84,0.64,0.5119047619047619,0.581081081081081,0.5443037974683544
split,2,1999,200,111,89,150,50,0.515,0.42,0.23595505617977527,0.302158273381295
split,3,2000,200,127,73,109,91,0.54,0.3956043956043956,0.4931506849315068,0.43902439024390244
split,4,2001,200,118,82,149,51,0.505,0.3333333333333333,0.2073170731707317,0.2556390977443609
split,5,2002,200,116,84,97,103,0.475,0.39805825242718446,0.4880952380952381,0.4385026737967914
split,6,2003,200,98,102,152,48,0.58,0.6875,0.3235294117647059,0.44
split,7,2004,200,130,70,141,59,0.565,0.3559322033898305,0.3,0.32558139534883723
split,8,2005,200,112,88,95,105,0.625,0.5619047619047619,0.6704545454545454,0.6113989637305699
split,9,2006,200,115,85,164,36,0.555,0.4444444444444444,0.18823529411764706,0.2644628099173554
split,10,2007,200,112,88,115,85,0.485,0.4117647058823529,0.3977272727272727,0.4046242774566474
split,11,2008,200,117,83,145,55,0.58,0.4909090909090909,0.3253012048192771,0.391304347826087
overall,overall,1998-2008,2200,1282,918,1433,767,0.5513636363636364,0.455019556714472,0.3801742919389978,0.4142433234421365
